학원명,분야구분,"학원주소",설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,피복비,차량비,기타경비합계,총교습비,강사수
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",GTQ일러스트레이터1급,12,0개월42일,3600,"720,000",,,,,,,,"720,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",GTQ일러스트레이터2급,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",쇼핑몰운영,12,0개월14일,1440,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",블로그만들기,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3D프린팅,12,0개월56일,5760,"1,152,000",,,,,,,,"1,152,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",HTML 태그,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",웹디자인기능사실기,12,1개월0일,2160,"648,000",,,,,,,,"648,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터그래픽스기능사실기,12,0개월42일,3240,"648,000",,,,,,,,"648,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",CAD 2D,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",CAD 3D,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",ATC 2급,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",ATC 1급,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용건축제도기능사,12,0개월42일,4320,"1,080,000",,,,,,,,"1,080,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용기계제도기능사,12,4개월0일,11520,"2,304,000",,,,,,,,"2,304,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3D-MAX 기초,12,0개월21일,1800,"360,000",,,,,,,,"360,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3D-MAX 중급 V-Ray,12,0개월42일,4320,"1,080,000",,,,,,,,"1,080,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",프리미어,12,0개월21일,1800,"450,000",,,,,,,,"450,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",애프터이펙트1,12,0개월21일,1800,"450,000",,,,,,,,"450,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",에프터이펙트2,12,0개월42일,4320,"1,080,000",,,,,,,,"1,080,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",광고편집디자인&영상편집디자인,12,1개월0일,4800,"1,440,000",,,,,,,,"1,440,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",디지털 편집디자인,12,1개월0일,4800,"1,200,000",,,,,,,,"1,200,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",시각(편집&E-BOOK)디자인 실무과정,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",그래픽 디자이너 포트폴리오 실무,12,2개월0일,9600,"2,400,000",,,,,,,,"2,400,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",쇼핑몰 제작과 디자인 실무 향상,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",반응형웹디자인양성과정,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",디저털영상컨텐츠제작자 양성,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",멀티미디어 콘텐츠 제작 향상과정,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",기계설계 기초실무 및 도면 해독,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",건축 인테리어 전문가 양성과정,12,4개월0일,19200,"4,800,000",,,,,,,,"4,800,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",실력향상 2D/3D 설계도면작성,12,0개월42일,7200,"1,800,000",,,,,,,,"1,800,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",현장에서 활용되는 건축설비디자인,12,4개월0일,19200,"4,800,000",,,,,,,,"4,800,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3D프린터 구동을 위한 기계요소 입문,12,0개월42일,7200,"2,160,000",,,,,,,,"2,160,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",기계요소설계 실무자 양성,12,2개월0일,9600,"2,880,000",,,,,,,,"2,880,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",윈도우/인터넷,0,14개월14일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",한글,0,14개월14일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",파워포인트,0,14개월0일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",엑셀,0,14개월14일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",액세스,0,14개월14일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ한글,0,14개월21일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ파워포인트,0,14개월14일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ엑셀,0,14개월14일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ인터넷,0,14개월0일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력1급필기/실기,2,0개월0일,4800,"1,200,000",,,,,,,,"1,200,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력1급필기/실기,0,70개월0일,5400,"1,350,000",,,,,,,,"1,350,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력1급실기,1,0개월0일,2400,"600,000",,,,,,,,"600,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력2급필기/실기,0,42개월0일,3600,"900,000",,,,,,,,"900,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력2급필기/실기,0,70개월14일,3600,"900,000",,,,,,,,"900,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력2급실기,0,21개월14일,1800,"450,000",,,,,,,,"450,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",윈도우/인터넷,0,14개월0일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",한글,0,14개월0일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",파워포인트,0,14개월0일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",엑셀,0,14개월0일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",액세스,0,14개월0일,1200,"240,000",,,,,,,,"240,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ한글,0,14개월0일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ파워포인트,0,14개월0일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ엑셀,0,14개월0일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",IHQ인터넷,0,14개월0일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력1급필기/실기,2,0개월0일,4800,"1,200,000",,,,,,,,"1,200,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력1급필기/실기,0,70개월0일,5400,"1,350,000",,,,,,,,"1,350,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력1급실기,1,0개월0일,2400,"600,000",,,,,,,,"600,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력2급필기/실기,0,42개월0일,3600,"900,000",,,,,,,,"900,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴퓨터활용능력2급필기/실기,0,70개월0일,3600,"900,000",,,,,,,,"900,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",워드프로세서1급필기/실기,0,42개월0일,3600,"900,000",,,,,,,,"900,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",워드프로세서1급실기,0,14개월0일,1200,"300,000",,,,,,,,"300,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",MOS워드,0,7개월0일,600,"120,000",,,,,,,,"120,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",MOS파워포인트,0,7개월0일,600,"120,000",,,,,,,,"120,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",MOS엑셀,0,7개월0일,600,"120,000",,,,,,,,"120,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",MOS액세스,0,7개월0일,600,"120,000",,,,,,,,"120,000",13
효성컴퓨터학원,직업기술,"대전광역시 서구 둔산로 134 , 501호 (둔산동,아베스빌딩)",안덕자,042-489-5788,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",MOS아웃룩,0,7개월0일,600,"120,000",,,,,,,,"120,000",13
대원학원,입시.검정 및 보습,"대전광역시 서구 배재로 186 , 4층 (도마동)","박정만,양희창",042-522-8379,보습,영어(초등),10,1개월0일,1134,"130,000",,,,,,,,"130,000",4
대원학원,입시.검정 및 보습,"대전광역시 서구 배재로 186 , 4층 (도마동)","박정만,양희창",042-522-8379,보습,수학(초등),10,1개월0일,1134,"130,000",,,,,,,,"130,000",4
대원학원,입시.검정 및 보습,"대전광역시 서구 배재로 186 , 4층 (도마동)","박정만,양희창",042-522-8379,보습,영어(중등),10,1개월0일,1260,"180,000",,,,,,,,"180,000",4
대원학원,입시.검정 및 보습,"대전광역시 서구 배재로 186 , 4층 (도마동)","박정만,양희창",042-522-8379,보습,수학(중등),10,1개월0일,1260,"180,000",,,,,,,,"180,000",4
대원학원,입시.검정 및 보습,"대전광역시 서구 배재로 186 , 4층 (도마동)","박정만,양희창",042-522-8379,보습,영어(고등),20,1개월0일,1200,"200,000",,,,,,,,"200,000",4
대원학원,입시.검정 및 보습,"대전광역시 서구 배재로 186 , 4층 (도마동)","박정만,양희창",042-522-8379,보습,수학(고등),20,1개월0일,1200,"200,000",,,,,,,,"200,000",4
민들레음악학원,예능(대),대전광역시 서구 계룡로576번길 55   백운음악학원 (괴정동),이춘성,042-533-0098,음악,피아노(바이엘 주5회),9,1개월0일,1050,"130,000",,,,,,,,"130,000",1
민들레음악학원,예능(대),대전광역시 서구 계룡로576번길 55   백운음악학원 (괴정동),이춘성,042-533-0098,음악,피아노(체르니100 주5회),9,1개월0일,1050,"140,000",,,,,,,,"140,000",1
민들레음악학원,예능(대),대전광역시 서구 계룡로576번길 55   백운음악학원 (괴정동),이춘성,042-533-0098,음악,피아노(체르니 30 주5회),9,1개월0일,1050,"150,000",,,,,,,,"150,000",1
민들레음악학원,예능(대),대전광역시 서구 계룡로576번길 55   백운음악학원 (괴정동),이춘성,042-533-0098,음악,피아노(체르니40 주5회),9,1개월0일,1050,"160,000",,,,,,,,"160,000",1
민들레음악학원,예능(대),대전광역시 서구 계룡로576번길 55   백운음악학원 (괴정동),이춘성,042-533-0098,음악,피아노(작품반),9,1개월0일,1050,"160,000",,,,,,,,"160,000",1
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,중급1,20,1개월0일,1008,"150,000",,,,,,,,"150,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,중급2,20,1개월0일,1260,"160,000",,,,,,,,"160,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,고급1,20,1개월0일,1260,"170,000",,,,,,,,"170,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,고급2,20,1개월0일,1260,"180,000",,,,,,,,"180,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,입시1,20,1개월0일,1260,"200,000",,,,,,,,"200,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,리코더,5,0개월0일,1008,"150,000",,,,,,,,"150,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,단소,5,1개월0일,1008,"150,000",,,,,,,,"150,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,오카리나,5,1개월0일,1008,"150,000",,,,,,,,"150,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,기타,5,1개월0일,1008,"120,000",,,,,,,,"120,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,입시2,20,1개월0일,1890,"350,000",,,,,,,,"350,000",4
시선음악학원,예능(대),대전광역시 서구 도솔로 54   2층 (도마동),이미나,042-525-9117,음악,초급1,20,1개월0일,1008,"140,000",,,,,,,,"140,000",4
더(the)예뜰음악학원,예능(대),"대전광역시 서구 도마로13번길 26 , 1층 (도마동)",최난용,042-523-4348,음악,피아노초급,10,1개월0일,836,"120,000",,,,,,,,"120,000",2
더(the)예뜰음악학원,예능(대),"대전광역시 서구 도마로13번길 26 , 1층 (도마동)",최난용,042-523-4348,음악,피아노중급,10,1개월0일,1260,"130,000",,,,,,,,"130,000",2
더(the)예뜰음악학원,예능(대),"대전광역시 서구 도마로13번길 26 , 1층 (도마동)",최난용,042-523-4348,음악,바이올린초급,5,1개월0일,1260,"130,000",,,,,,,,"130,000",2
